rank,strategy_id,label,folder,asset_key,phase,source,metadata_file,overall_pf,overall_trades,overall_total_r,win_rate_pct,max_drawdown_r,ml_used,model,split_basis,pre_split_pf,pre_split_trades,post_split_pf,post_split_trades,observed_first70_pf,observed_first70_trades,observed_last30_pf,observed_last30_trades,overfit_risk,overfit_notes,variant_id,key_params
11,competition_usd_chf_daily_tsmom_next_overnight_month_12_4f2024c0,USDCHF 10-day daily momentum overnight (December filter),competition_usd_chf_daily_tsmom_next_overnight_month_12_4f2024c0,usd_chf,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.111,75,118.66,61.3,10.05,yes,ML scorer,true_pre2022_vs_2022_forward,1.389,50,3.111,75,3.109,53,3.118,22,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_month_12|direction=momentum|entry=945|exit=570|lookback=10|signal_month=12|risk_reward=2,direction=momentum; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_month_12; lookback=10
12,competition_natural_gas_futures_us_first30_last30_momentum_month_9_c678e3c1,NG US opening-range continuation into the close (September filter),competition_natural_gas_futures_us_first30_last30_momentum_month_9_c678e3c1,natural_gas_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.105,56,8.61,60.7,1.09,yes,ML scorer,true_pre2022_vs_2022_forward,0.874,161,3.105,56,3.755,40,1.810,16,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_momentum_month_9|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=9|risk_reward=2,direction=same; risk_reward=2; entry=930; exit=945; family=us_first30_last30_momentum_month_9; min_signal_atr=0.5
13,competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_e133c7a3,ZT 20-day daily mean reversion overnight (Friday shorts),competition_us_treasury_2y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_e133c7a3,us_treasury_2y_note_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.076,96,86.96,63.5,12.21,yes,ML scorer,true_pre2022_vs_2022_forward,0.641,46,3.076,96,2.714,68,5.825,28,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=4_short|risk_reward=2,direction=contrarian; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_4_short; lookback=20
14,competition_micro_ether_futures_london_first30_ny_open_reversal_weekday_side_0_long_d64af48a,MET London opening-range reversal into New York (Monday longs),competition_micro_ether_futures_london_first30_ny_open_reversal_weekday_side_0_long_d64af48a,micro_ether_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.059,44,41.16,61.4,7.39,yes,ML scorer,true_pre2022_vs_2022_forward,0.000,0,3.059,44,3.803,31,1.796,13,High,small total sample; thin pre-split sample; forward stronger than fit sample,competition_session_edge|family=london_first30_ny_open_reversal_weekday_side_0_long|direction=opposite|entry=480|exit=570|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_weekday_side=0_long|risk_reward=2,direction=opposite; risk_reward=2; entry=480; exit=570; family=london_first30_ny_open_reversal_weekday_side_0_long; min_signal_atr=0.5
15,competition_usd_cad_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminute_945_exitminu_dca02dc1,USDCAD 5-day daily momentum overnight (December filter),competition_usd_cad_daily_tsmom_next_overnight_signalmonth_direction_momentum_entryminute_945_exitminu_dca02dc1,usd_cad,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.022,74,129.25,59.5,11.49,yes,ML scorer,true_pre2022_vs_2022_forward,1.377,44,3.022,74,2.944,52,3.215,22,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_signalmonth|direction=momentum|entry=945|exit=570|lookback=5|signal_month=12|risk_reward=2,direction=momentum; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_signalmonth; lookback=5
16,competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_6dc543f7,ZF 20-day daily mean reversion overnight (Friday shorts),competition_us_treasury_5y_note_futures_daily_tsmom_next_overnight_weekday_side_4_short_6dc543f7,us_treasury_5y_note_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.986,95,75.75,61.1,13.90,yes,ML scorer,true_pre2022_vs_2022_forward,1.221,42,2.986,95,4.238,67,1.737,28,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_short|direction=contrarian|entry=945|exit=945|lookback=20|signal_weekday_side=4_short|risk_reward=2,direction=contrarian; risk_reward=2; entry=945; exit=945; family=daily_tsmom_next_overnight_weekday_side_4_short; lookback=20
17,competition_copper_futures_us_first30_last30_reversal_weekday_side_0_long_04d98061,HG US opening-range reversal into the close (Monday longs),competition_copper_futures_us_first30_last30_reversal_weekday_side_0_long_04d98061,copper_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.926,75,9.79,56.0,0.67,yes,ML scorer,true_pre2022_vs_2022_forward,1.240,188,2.926,75,2.887,53,3.032,22,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=0_long|risk_reward=2,direction=opposite; risk_reward=2; entry=930; exit=945; family=us_first30_last30_reversal_weekday_side_0_long; min_signal_atr=0.35
18,competition_gbp_jpy_daily_tsmom_next_rth_month_6_4be2e72e,GBPJPY 20-day daily momentum into RTH (June filter),competition_gbp_jpy_daily_tsmom_next_rth_month_6_4be2e72e,gbp_jpy,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.911,68,107.23,66.2,14.13,yes,ML scorer,true_pre2022_vs_2022_forward,0.571,44,2.911,68,3.981,48,1.544,20,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_rth_month_6|direction=momentum|entry=570|exit=945|lookback=20|signal_month=6|risk_reward=2,direction=momentum; risk_reward=2; entry=570; exit=945; family=daily_tsmom_next_rth_month_6; lookback=20
19,competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_1942c62b,ZF US opening-range continuation into the close (Wednesday longs),competition_us_treasury_5y_note_futures_us_first30_last30_momentum_signalweekdayside_direction_same_en_1942c62b,us_treasury_5y_note_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,2.884,74,22.74,58.1,1.90,yes,ML scorer,true_pre2022_vs_2022_forward,2.561,38,2.884,74,3.518,52,1.528,22,Medium,ML fit sample under 50 trades,competition_session_edge|family=us_first30_last30_momentum_signalweekdayside|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=2,direction=same; risk_reward=2; entry=930; exit=945; family=us_first30_last30_momentum_signalweekdayside; min_signal_atr=0.5
20,competition_japanese_yen_futures_overnight_close_to_open_bias_short_month_10_6bc43a25,6J overnight short close-to-open bias (October filter),competition_japanese_yen_futures_overnight_close_to_open_bias_short_month_10_6bc43a25,japanese_yen_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.869,89,196.50,65.2,21.05,yes,ML scorer,true_pre2022_vs_2022_forward,1.140,265,2.869,89,2.790,63,3.072,26,Low,forward stronger than fit sample,competition_session_edge|family=overnight_close_to_open_bias_short_month_10|side=short|signal_month=10|risk_reward=2,risk_reward=2; family=overnight_close_to_open_bias_short_month_10; side=short; signal_month=10
21,competition_russell_2000_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarmi_801e97d2,RTY NY open gap fade (February filter),competition_russell_2000_futures_ny_open_gap_fade_signalmonth_direction_fade_entryminute_570_exitbarmi_801e97d2,russell_2000_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,2.853,59,49.07,64.4,5.19,yes,ML scorer,true_pre2022_vs_2022_forward,1.281,49,2.853,59,3.036,42,2.626,17,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=ny_open_gap_fade_signalmonth|direction=fade|entry=570|exit=615|min_gap_atr=0.75|signal_month=2|risk_reward=2,direction=fade; risk_reward=2; entry=570; exit=615; family=ny_open_gap_fade_signalmonth; min_gap_atr=0.75
22,competition_canadian_dollar_futures_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exi_31e5e01a,6C overnight short close-to-open bias (October filter),competition_canadian_dollar_futures_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exi_31e5e01a,canadian_dollar_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,2.850,89,110.00,62.9,16.83,yes,ML scorer,true_pre2022_vs_2022_forward,1.296,212,2.850,89,3.253,63,1.980,26,Low,forward stronger than fit sample,competition_session_edge|family=overnight_close_to_open_bias_signalmonth|side=short|signal_month=10|risk_reward=2,risk_reward=2; family=overnight_close_to_open_bias_signalmonth; side=short; signal_month=10
23,competition_gbp_jpy_london_first30_last30_momentum_weekday_side_4_long_6a554e5f,GBPJPY London opening-range continuation into the US close (Friday longs),competition_gbp_jpy_london_first30_last30_momentum_weekday_side_4_long_6a554e5f,gbp_jpy,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.801,81,19.08,65.4,2.48,yes,ML scorer,true_pre2022_vs_2022_forward,1.410,36,2.801,81,3.422,57,1.789,24,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=london_first30_last30_momentum_weekday_side_4_long|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_weekday_side=4_long|risk_reward=2,direction=same; risk_reward=2; entry=930; exit=945; family=london_first30_last30_momentum_weekday_side_4_long; min_signal_atr=0.5
24,competition_gold_futures_us_first30_last30_reversal_weekday_side_0_long_c0163084,GC US opening-range reversal into the close (Monday longs),competition_gold_futures_us_first30_last30_reversal_weekday_side_0_long_c0163084,gold_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.785,71,11.01,60.6,1.43,yes,ML scorer,true_pre2022_vs_2022_forward,0.794,189,2.785,71,2.351,50,4.851,21,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=0_long|risk_reward=2,direction=opposite; risk_reward=2; entry=930; exit=945; family=us_first30_last30_reversal_weekday_side_0_long; min_signal_atr=0.5
25,competition_usd_cad_london_first30_ny_open_momentum_month_12_f0df56f8,USDCAD London opening-range continuation into New York (December filter),competition_usd_cad_london_first30_ny_open_momentum_month_12_f0df56f8,usd_cad,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.776,79,134.75,65.8,12.35,yes,ML scorer,true_pre2022_vs_2022_forward,0.986,43,2.776,79,3.213,56,2.267,23,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=london_first30_ny_open_momentum_month_12|direction=same|entry=480|exit=570|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=12|risk_reward=2,direction=same; risk_reward=2; entry=480; exit=570; family=london_first30_ny_open_momentum_month_12; min_signal_atr=0
26,competition_eur_cad_us_first30_midday_momentum_month_10_8e114485,EURCAD US opening-range continuation into midday (October filter),competition_eur_cad_us_first30_midday_momentum_month_10_8e114485,eur_cad,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.775,63,28.54,68.3,2.16,yes,ML scorer,true_pre2022_vs_2022_forward,0.655,23,2.775,63,2.567,45,3.599,18,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=us_first30_midday_momentum_month_10|direction=same|entry=720|exit=780|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_month=10|risk_reward=2,direction=same; risk_reward=2; entry=720; exit=780; family=us_first30_midday_momentum_month_10; min_signal_atr=0.5
27,gbp_usd_ny_sweep_bayes,GBPUSD NY sweep playbook,gbp_usd_ny_sweep_bayes,gbp_usd,ny_sweep_playbook,pre_2022_ml_holdout_rebuild_2026_05,machine_learning/selection.json,2.750,38,28.00,57.9,2.00,yes,Bayes scorer,proxy_first70_vs_last30,2.500,27,3.500,11,2.500,27,3.500,11,Medium,no true train/forward metadata; small total sample; thin post-split sample,ny_sweep_v4|model=bayes|min=0.62|start=420|end=540|max_tests=2|risk_min=10|risk_max=22|min_wick=0.5|rr=2|max_bars=96|one_trade=1,model=bayes; rr=2; start=420; end=540; max_bars=96; one_trade=1
28,competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,AUDNZD 5-day daily mean reversion overnight (Friday longs),competition_aud_nzd_daily_tsmom_next_overnight_weekday_side_4_long_0aa8225f,aud_nzd,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.747,87,73.26,64.4,8.29,yes,ML scorer,true_pre2022_vs_2022_forward,0.910,38,2.747,87,3.157,61,1.778,26,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_4_long|direction=contrarian|entry=945|exit=945|lookback=5|signal_weekday_side=4_long|risk_reward=2,direction=contrarian; risk_reward=2; entry=945; exit=945; family=daily_tsmom_next_overnight_weekday_side_4_long; lookback=5
29,competition_gbp_jpy_london_first30_last30_reversal_weekday_side_4_long_ef0c2df3,GBPJPY London opening-range reversal into the US close (Friday longs),competition_gbp_jpy_london_first30_last30_reversal_weekday_side_4_long_ef0c2df3,gbp_jpy,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.731,64,12.72,60.9,1.81,yes,ML scorer,true_pre2022_vs_2022_forward,1.468,30,2.731,64,2.804,45,2.504,19,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=london_first30_last30_reversal_weekday_side_4_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=195|signal_start=180|signal_weekday_side=4_long|risk_reward=2,direction=opposite; risk_reward=2; entry=930; exit=945; family=london_first30_last30_reversal_weekday_side_4_long; min_signal_atr=0.35
30,competition_sp_500_futures_daily_tsmom_next_overnight_weekday_side_1_long_c8bb041e,ES 20-day daily mean reversion overnight (Tuesday longs),competition_sp_500_futures_daily_tsmom_next_overnight_weekday_side_1_long_c8bb041e,sp_500_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.729,82,91.89,73.2,9.19,yes,ML scorer,true_pre2022_vs_2022_forward,1.218,171,2.729,82,2.258,58,4.040,24,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_1_long|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=1_long|risk_reward=2,direction=contrarian; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_1_long; lookback=20
31,competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,EURCAD London opening-range continuation into the US close (August filter),competition_eur_cad_london_first30_last30_momentum_month_8_c5f12647,eur_cad,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.726,87,23.04,63.2,1.76,yes,ML scorer,true_pre2022_vs_2022_forward,1.290,39,2.726,87,2.689,61,2.796,26,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=london_first30_last30_momentum_month_8|direction=same|entry=930|exit=945|min_signal_atr=0|signal_end=195|signal_start=180|signal_month=8|risk_reward=2,direction=same; risk_reward=2; entry=930; exit=945; family=london_first30_last30_momentum_month_8; min_signal_atr=0
32,competition_usd_jpy_overnight_close_to_open_bias_long_month_10_06e957d5,USDJPY overnight long close-to-open bias (October filter),competition_usd_jpy_overnight_close_to_open_bias_long_month_10_06e957d5,usd_jpy,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.669,89,177.85,68.5,18.39,yes,ML scorer,true_pre2022_vs_2022_forward,0.927,48,2.669,89,2.651,63,2.715,26,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=overnight_close_to_open_bias_long_month_10|side=long|signal_month=10|risk_reward=2,risk_reward=2; family=overnight_close_to_open_bias_long_month_10; side=long; signal_month=10
33,competition_silver_futures_daily_tsmom_next_overnight_weekday_side_1_long_f61a84dd,SI 20-day daily mean reversion overnight (Tuesday longs),competition_silver_futures_daily_tsmom_next_overnight_weekday_side_1_long_f61a84dd,silver_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.668,87,170.52,63.2,27.35,yes,ML scorer,true_pre2022_vs_2022_forward,0.908,315,2.668,87,1.682,61,33.494,26,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_1_long|direction=contrarian|entry=945|exit=570|lookback=20|signal_weekday_side=1_long|risk_reward=2,direction=contrarian; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_1_long; lookback=20
34,competition_eur_jpy_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_563aa3f1,EURJPY 5-day daily momentum into RTH (June filter),competition_eur_jpy_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_563aa3f1,eur_jpy,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,2.667,68,105.44,63.2,18.61,yes,ML scorer,true_pre2022_vs_2022_forward,1.708,44,2.667,68,2.799,48,2.362,20,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=momentum|entry=570|exit=945|lookback=5|signal_month=6|risk_reward=2,direction=momentum; risk_reward=2; entry=570; exit=945; family=daily_tsmom_next_rth_signalmonth; lookback=5
35,competition_sp_500_futures_us_first30_last30_reversal_weekday_side_0_long_2b2acc93,ES US opening-range reversal into the close (Monday longs),competition_sp_500_futures_us_first30_last30_reversal_weekday_side_0_long_2b2acc93,sp_500_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.663,59,33.83,62.7,4.81,yes,ML scorer,true_pre2022_vs_2022_forward,1.269,209,2.663,59,2.377,42,3.616,17,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_weekday_side_0_long|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=0_long|risk_reward=2,direction=opposite; risk_reward=2; entry=930; exit=945; family=us_first30_last30_reversal_weekday_side_0_long; min_signal_atr=0.5
36,competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_2_short_99ba7153,YM 20-day daily momentum overnight (Wednesday shorts),competition_dow_jones_futures_daily_tsmom_next_overnight_weekday_side_2_short_99ba7153,dow_jones_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,2.640,83,102.63,65.1,11.27,yes,ML scorer,true_pre2022_vs_2022_forward,0.677,194,2.640,83,2.309,59,3.570,24,Low,forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_2_short|direction=momentum|entry=945|exit=570|lookback=20|signal_weekday_side=2_short|risk_reward=2,direction=momentum; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_2_short; lookback=20
